5 , 16/04/2012 06:24:06:169 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:171 , ApplicationProcessor , checkDuplicateApplications , approved 300 app ref no 160611000845
5 , 16/04/2012 06:24:06:172 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:174 , ApplicationProcessor , checkDuplicateApplications , approved 301 app ref no 160611000221
5 , 16/04/2012 06:24:06:175 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:177 , ApplicationProcessor , checkDuplicateApplications , approved 302 app ref no 300611000379
5 , 16/04/2012 06:24:06:178 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:180 , ApplicationProcessor , checkDuplicateApplications , approved 303 app ref no 280611000429
5 , 16/04/2012 06:24:06:182 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:184 , ApplicationProcessor , checkDuplicateApplications , approved 304 app ref no 280611000474
5 , 16/04/2012 06:24:06:186 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:189 , ApplicationProcessor , checkDuplicateApplications , approved 305 app ref no 300611001389
5 , 16/04/2012 06:24:06:192 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:194 , ApplicationProcessor , checkDuplicateApplications , approved 306 app ref no 300611001401
5 , 16/04/2012 06:24:06:197 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:200 , ApplicationProcessor , checkDuplicateApplications , approved 307 app ref no 280611000584
5 , 16/04/2012 06:24:06:202 , ApplicationProcessor , checkDuplicateApplications , Approved First Name :SANTOSH
5 , 16/04/2012 06:24:06:203 , ApplicationProcessor , checkDuplicateApplications , PEnding First Name :JAGDISH
5 , 16/04/2012 06:24:06:205 , ApplicationProcessor , checkDuplicateApplications , Approved Middle Name :null
5 , 16/04/2012 06:24:06:207 , ApplicationProcessor , checkDuplicateApplications , Approved Middle name :null for app ref noCG20110124679TC
5 , 16/04/2012 06:24:06:208 , ApplicationProcessor , checkDuplicateApplications , Pending Middle name:null for cgpan090412000254
5 , 16/04/2012 06:24:06:210 , ApplicationProcessor , checkDuplicateApplications , Approved Address :VPO BADHERA TEHSIL UNA DISTT UNA 
5 , 16/04/2012 06:24:06:211 , ApplicationProcessor , checkDuplicateApplications , Approved Address :S/O CHARAN DASS VILLAGE CHATARA PO CHATARA DISTT UNA
5 , 16/04/2012 06:24:06:213 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:215 , ApplicationProcessor , checkDuplicateApplications , approved 308 app ref no 300611000343
5 , 16/04/2012 06:24:06:216 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:218 , ApplicationProcessor , checkDuplicateApplications , approved 309 app ref no 040711000175
5 , 16/04/2012 06:24:06:220 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:221 , ApplicationProcessor , checkDuplicateApplications , approved 310 app ref no 110811000132
5 , 16/04/2012 06:24:06:223 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:225 , ApplicationProcessor , checkDuplicateApplications , approved 311 app ref no 040711000181
5 , 16/04/2012 06:24:06:227 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:230 , ApplicationProcessor , checkDuplicateApplications , approved 312 app ref no 050711000116
5 , 16/04/2012 06:24:06:233 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:235 , ApplicationProcessor , checkDuplicateApplications , approved 313 app ref no 110711000110
5 , 16/04/2012 06:24:06:237 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:238 , ApplicationProcessor , checkDuplicateApplications , approved 314 app ref no 110711000120
5 , 16/04/2012 06:24:06:240 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:241 , ApplicationProcessor , checkDuplicateApplications , approved 315 app ref no 110711000126
5 , 16/04/2012 06:24:06:243 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:244 , ApplicationProcessor , checkDuplicateApplications , approved 316 app ref no 110711000138
5 , 16/04/2012 06:24:06:246 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:248 , ApplicationProcessor , checkDuplicateApplications , approved 317 app ref no 150711000351
5 , 16/04/2012 06:24:06:250 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:253 , ApplicationProcessor , checkDuplicateApplications , approved 318 app ref no 150711000352
5 , 16/04/2012 06:24:06:256 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:259 , ApplicationProcessor , checkDuplicateApplications , approved 319 app ref no 190711000029
5 , 16/04/2012 06:24:06:262 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:265 , ApplicationProcessor , checkDuplicateApplications , approved 320 app ref no 190711000041
5 , 16/04/2012 06:24:06:267 , ApplicationProcessor , checkDuplicateApplications , Approved First Name :SHIV
5 , 16/04/2012 06:24:06:269 , ApplicationProcessor , checkDuplicateApplications , PEnding First Name :JAGDISH
5 , 16/04/2012 06:24:06:270 , ApplicationProcessor , checkDuplicateApplications , Approved Middle Name :KUMAR
5 , 16/04/2012 06:24:06:272 , ApplicationProcessor , checkDuplicateApplications , Approved Middle name :KUMAR for app ref noCG20110131684TC
5 , 16/04/2012 06:24:06:275 , ApplicationProcessor , checkDuplicateApplications , Pending Middle name:null for cgpan090412000254
5 , 16/04/2012 06:24:06:276 , ApplicationProcessor , checkDuplicateApplications , Approved Address :VILL & PO NARI CHINTPURNI
5 , 16/04/2012 06:24:06:278 , ApplicationProcessor , checkDuplicateApplications , Approved Address :S/O CHARAN DASS VILLAGE CHATARA PO CHATARA DISTT UNA
5 , 16/04/2012 06:24:06:280 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:282 , ApplicationProcessor , checkDuplicateApplications , approved 321 app ref no 190711000042
5 , 16/04/2012 06:24:06:283 , ApplicationProcessor , checkDuplicateApplications , Approved First Name :NEERAJ
5 , 16/04/2012 06:24:06:285 , ApplicationProcessor , checkDuplicateApplications , PEnding First Name :JAGDISH
5 , 16/04/2012 06:24:06:287 , ApplicationProcessor , checkDuplicateApplications , Approved Middle Name :KUMAR
5 , 16/04/2012 06:24:06:289 , ApplicationProcessor , checkDuplicateApplications , Approved Middle name :KUMAR for app ref noCG20110131685TC
5 , 16/04/2012 06:24:06:292 , ApplicationProcessor , checkDuplicateApplications , Pending Middle name:null for cgpan090412000254
5 , 16/04/2012 06:24:06:294 , ApplicationProcessor , checkDuplicateApplications , Approved Address :S/O SH. SHIV KUMAR KAUL VII & PO NARI CHINTPURNI
5 , 16/04/2012 06:24:06:297 , ApplicationProcessor , checkDuplicateApplications , Approved Address :S/O CHARAN DASS VILLAGE CHATARA PO CHATARA DISTT UNA
5 , 16/04/2012 06:24:06:301 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:303 , ApplicationProcessor , checkDuplicateApplications , approved 322 app ref no 190711000049
5 , 16/04/2012 06:24:06:310 , ApplicationProcessor , checkDuplicateApplications , Approved First Name :ASHWANI 
5 , 16/04/2012 06:24:06:312 , ApplicationProcessor , checkDuplicateApplications , PEnding First Name :JAGDISH
5 , 16/04/2012 06:24:06:314 , ApplicationProcessor , checkDuplicateApplications , Approved Middle Name :null
5 , 16/04/2012 06:24:06:315 , ApplicationProcessor , checkDuplicateApplications , Approved Middle name :null for app ref noCG20110131686TC
5 , 16/04/2012 06:24:06:317 , ApplicationProcessor , checkDuplicateApplications , Pending Middle name:null for cgpan090412000254
5 , 16/04/2012 06:24:06:318 , ApplicationProcessor , checkDuplicateApplications , Approved Address :S/O SH. KEWAL KRISHAN VILL PO NARI CHINTPURNI DISTT UNA
5 , 16/04/2012 06:24:06:320 , ApplicationProcessor , checkDuplicateApplications , Approved Address :S/O CHARAN DASS VILLAGE CHATARA PO CHATARA DISTT UNA
5 , 16/04/2012 06:24:06:323 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:325 , ApplicationProcessor , checkDuplicateApplications , approved 323 app ref no 190711000031
5 , 16/04/2012 06:24:06:387 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:390 , ApplicationProcessor , checkDuplicateApplications , approved 324 app ref no 190711000035
5 , 16/04/2012 06:24:06:392 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:395 , ApplicationProcessor , checkDuplicateApplications , approved 325 app ref no 190711000356
5 , 16/04/2012 06:24:06:397 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:399 , ApplicationProcessor , checkDuplicateApplications , approved 326 app ref no 280711000061
5 , 16/04/2012 06:24:06:406 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:408 , ApplicationProcessor , checkDuplicateApplications , approved 327 app ref no 280711000072
5 , 16/04/2012 06:24:06:410 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:412 , ApplicationProcessor , checkDuplicateApplications , approved 328 app ref no 280711000103
5 , 16/04/2012 06:24:06:414 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:417 , ApplicationProcessor , checkDuplicateApplications , approved 329 app ref no 280711000109
5 , 16/04/2012 06:24:06:419 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:422 , ApplicationProcessor , checkDuplicateApplications , approved 330 app ref no 280711000116
5 , 16/04/2012 06:24:06:423 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:425 , ApplicationProcessor , checkDuplicateApplications , approved 331 app ref no 280711000123
5 , 16/04/2012 06:24:06:427 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:429 , ApplicationProcessor , checkDuplicateApplications , approved 332 app ref no 280711000135
5 , 16/04/2012 06:24:06:431 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:433 , ApplicationProcessor , checkDuplicateApplications , approved 333 app ref no 280711000141
5 , 16/04/2012 06:24:06:435 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:437 , ApplicationProcessor , checkDuplicateApplications , approved 334 app ref no 280711000154
5 , 16/04/2012 06:24:06:438 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:440 , ApplicationProcessor , checkDuplicateApplications , approved 335 app ref no 280711000054
5 , 16/04/2012 06:24:06:442 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:443 , ApplicationProcessor , checkDuplicateApplications , approved 336 app ref no 280711000114
5 , 16/04/2012 06:24:06:445 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:447 , ApplicationProcessor , checkDuplicateApplications , approved 337 app ref no 290711000238
5 , 16/04/2012 06:24:06:448 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:450 , ApplicationProcessor , checkDuplicateApplications , approved 338 app ref no 290711000249
5 , 16/04/2012 06:24:06:451 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:453 , ApplicationProcessor , checkDuplicateApplications , approved 339 app ref no 290711000241
5 , 16/04/2012 06:24:06:454 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:456 , ApplicationProcessor , checkDuplicateApplications , approved 340 app ref no 030811000467
5 , 16/04/2012 06:24:06:458 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:460 , ApplicationProcessor , checkDuplicateApplications , approved 341 app ref no 030811000494
5 , 16/04/2012 06:24:06:462 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:465 , ApplicationProcessor , checkDuplicateApplications , approved 342 app ref no 030811000501
5 , 16/04/2012 06:24:06:467 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:468 , ApplicationProcessor , checkDuplicateApplications , approved 343 app ref no 040811000094
5 , 16/04/2012 06:24:06:470 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:471 , ApplicationProcessor , checkDuplicateApplications , approved 344 app ref no 040811000105
5 , 16/04/2012 06:24:06:473 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:474 , ApplicationProcessor , checkDuplicateApplications , approved 345 app ref no 090811000331
5 , 16/04/2012 06:24:06:476 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:478 , ApplicationProcessor , checkDuplicateApplications , approved 346 app ref no 020911000072
5 , 16/04/2012 06:24:06:480 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:482 , ApplicationProcessor , checkDuplicateApplications , approved 347 app ref no 020911000055
5 , 16/04/2012 06:24:06:483 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:485 , ApplicationProcessor , checkDuplicateApplications , approved 348 app ref no 020911000041
5 , 16/04/2012 06:24:06:486 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:488 , ApplicationProcessor , checkDuplicateApplications , approved 349 app ref no 020911000047
5 , 16/04/2012 06:24:06:490 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:492 , ApplicationProcessor , checkDuplicateApplications , approved 350 app ref no 020911000065
5 , 16/04/2012 06:24:06:494 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:495 , ApplicationProcessor , checkDuplicateApplications , approved 351 app ref no 020911000095
5 , 16/04/2012 06:24:06:524 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:526 , ApplicationProcessor , checkDuplicateApplications , approved 352 app ref no 020911000105
5 , 16/04/2012 06:24:06:530 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:531 , ApplicationProcessor , checkDuplicateApplications , approved 353 app ref no 020911000116
5 , 16/04/2012 06:24:06:533 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:534 , ApplicationProcessor , checkDuplicateApplications , approved 354 app ref no 020911000111
5 , 16/04/2012 06:24:06:536 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:538 , ApplicationProcessor , checkDuplicateApplications , approved 355 app ref no 020911000130
5 , 16/04/2012 06:24:06:540 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:543 , ApplicationProcessor , checkDuplicateApplications , approved 356 app ref no 020911000124
5 , 16/04/2012 06:24:06:545 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:547 , ApplicationProcessor , checkDuplicateApplications , approved 357 app ref no 020911000139
5 , 16/04/2012 06:24:06:549 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:551 , ApplicationProcessor , checkDuplicateApplications , approved 358 app ref no 020911000167
5 , 16/04/2012 06:24:06:553 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
5 , 16/04/2012 06:24:06:554 , ApplicationProcessor , checkDuplicateApplications , approved 359 app ref no 080911000159
5 , 16/04/2012 06:24:06:556 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 090412000254
