5 , 10/05/2012 11:01:13:546 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
5 , 10/05/2012 11:01:13:546 , ApplicationProcessor , checkDuplicateApplications , approved 188 app ref no 1706040088
5 , 10/05/2012 11:01:13:546 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
5 , 10/05/2012 11:01:13:546 , ApplicationProcessor , checkDuplicateApplications , approved 189 app ref no 3003050058
5 , 10/05/2012 11:01:13:546 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
5 , 10/05/2012 11:01:13:546 , ApplicationProcessor , checkDuplicateApplications , approved 190 app ref no 0807050015
5 , 10/05/2012 11:01:13:546 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
5 , 10/05/2012 11:01:13:546 , ApplicationProcessor , checkDuplicateApplications , approved 191 app ref no 1206070075
5 , 10/05/2012 11:01:13:546 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
5 , 10/05/2012 11:01:13:546 , ApplicationProcessor , checkDuplicateApplications , approved 192 app ref no 2810050085
5 , 10/05/2012 11:01:13:546 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
5 , 10/05/2012 11:01:13:546 , ApplicationProcessor , checkDuplicateApplications , approved 193 app ref no 0606030014
5 , 10/05/2012 11:01:13:546 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
5 , 10/05/2012 11:01:13:561 , ApplicationProcessor , checkDuplicateApplications , approved 194 app ref no 0711060066
5 , 10/05/2012 11:01:13:561 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
5 , 10/05/2012 11:01:13:561 , ApplicationProcessor , checkDuplicateApplications , approved 195 app ref no 2312060008
5 , 10/05/2012 11:01:13:561 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
5 , 10/05/2012 11:01:13:561 , ApplicationProcessor , checkDuplicateApplications , approved 196 app ref no 1710050002
5 , 10/05/2012 11:01:13:561 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
5 , 10/05/2012 11:01:13:561 , ApplicationProcessor , checkDuplicateApplications , approved 197 app ref no 1207050006
5 , 10/05/2012 11:01:13:561 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
5 , 10/05/2012 11:01:13:561 , ApplicationProcessor , checkDuplicateApplications , approved 198 app ref no 2107070005
5 , 10/05/2012 11:01:13:561 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
5 , 10/05/2012 11:01:13:561 , ApplicationProcessor , checkDuplicateApplications , approved 199 app ref no 3003050097
5 , 10/05/2012 11:01:13:561 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
5 , 10/05/2012 11:01:13:561 , ApplicationProcessor , checkDuplicateApplications , approved 200 app ref no 3101030001
5 , 10/05/2012 11:01:13:561 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
5 , 10/05/2012 11:01:13:561 , ApplicationProcessor , checkDuplicateApplications , approved 201 app ref no 3003050012
5 , 10/05/2012 11:01:13:561 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
5 , 10/05/2012 11:01:13:561 , ApplicationProcessor , checkDuplicateApplications , approved 202 app ref no 3012040081
5 , 10/05/2012 11:01:13:577 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
5 , 10/05/2012 11:01:13:577 , ApplicationProcessor , checkDuplicateApplications , approved 203 app ref no 1708050036
5 , 10/05/2012 11:01:13:577 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
5 , 10/05/2012 11:01:13:577 , ApplicationProcessor , checkDuplicateApplications , approved 204 app ref no 1207070003
5 , 10/05/2012 11:01:13:577 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
5 , 10/05/2012 11:01:13:577 , ApplicationProcessor , checkDuplicateApplications , approved 205 app ref no 3004040017
5 , 10/05/2012 11:01:13:577 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 2602070021
